batch_idx,correct,p_adv,time
0,4,0.08832747,0.006815671920776367
1,5,0.08614297,0.003434419631958008
2,5,0.08706173,0.0033059120178222656
3,3,0.081445634,0.0025017261505126953
4,3,0.09078331,0.0024368762969970703
5,7,0.09047507,0.0023746490478515625
6,6,0.08675513,0.0023245811462402344
7,4,0.093464784,0.0025169849395751953
8,6,0.08833517,0.002301454544067383
9,8,0.090343736,0.0025827884674072266
10,2,0.08744782,0.0029511451721191406
11,3,0.09194766,0.002924203872680664
12,5,0.09284794,0.0027704238891601562
13,9,0.086172625,0.0032553672790527344
14,7,0.0872664,0.002839326858520508
15,5,0.087080054,0.0026483535766601562
16,10,0.08569991,0.002649068832397461
17,4,0.090564616,0.003056764602661133
18,4,0.088969894,0.0031456947326660156
19,2,0.088562414,0.0027382373809814453
20,5,0.08580758,0.0024776458740234375
21,6,0.09257883,0.0025818347930908203
22,3,0.087160096,0.002624988555908203
23,5,0.08844506,0.0030317306518554688
24,5,0.0920171,0.00305938720703125
25,5,0.089743055,0.0028564929962158203
26,9,0.09076371,0.0026082992553710938
27,7,0.08809794,0.0025496482849121094
28,6,0.08800939,0.0027904510498046875
29,5,0.08512028,0.0025098323822021484
30,6,0.09038744,0.002323627471923828
31,3,0.08979601,0.002996206283569336
32,9,0.0907764,0.0026144981384277344
33,7,0.090349525,0.002488851547241211
34,9,0.08875814,0.002348184585571289
35,4,0.09165286,0.0026018619537353516
36,3,0.09063959,0.002746105194091797
37,4,0.08965372,0.0027244091033935547
38,14,0.08408753,0.0023725032806396484
39,2,0.089127414,0.002591848373413086
40,7,0.097469136,0.0026023387908935547
41,5,0.09245067,0.0023870468139648438
42,6,0.085197836,0.0031113624572753906
43,4,0.0829044,0.002786874771118164
44,5,0.09198454,0.0026154518127441406
45,7,0.08854595,0.0024547576904296875
46,10,0.08569463,0.0029942989349365234
47,3,0.09208611,0.0026810169219970703
48,6,0.09084669,0.0029697418212890625
49,6,0.086661726,0.002515077590942383
50,5,0.08584386,0.0026702880859375
51,7,0.08917277,0.003048419952392578
52,4,0.08987546,0.0026819705963134766
53,7,0.09027083,0.0023844242095947266
54,6,0.09349801,0.0023431777954101562
55,8,0.09197921,0.0022134780883789062
56,6,0.08901574,0.0026063919067382812
57,7,0.09258984,0.002251863479614258
58,6,0.08764078,0.002397298812866211
59,7,0.08903744,0.0023627281188964844
60,7,0.09322973,0.002627849578857422
61,5,0.08882624,0.002553701400756836
62,4,0.09336448,0.0022077560424804688
63,5,0.08912657,0.002145528793334961
64,6,0.08795437,0.002460956573486328
65,4,0.0889463,0.002403736114501953
66,6,0.08774828,0.0022487640380859375
67,10,0.089645565,0.0022459030151367188
68,10,0.08654484,0.0024766921997070312
69,6,0.08238314,0.0021867752075195312
70,5,0.089310825,0.002364635467529297
71,5,0.088446036,0.002341747283935547
72,2,0.09394807,0.0023162364959716797
73,7,0.09496501,0.002138376235961914
74,6,0.084194325,0.0024466514587402344
75,7,0.086253375,0.002205371856689453
76,4,0.08332577,0.0024175643920898438
77,4,0.08982316,0.0022983551025390625
78,6,0.09260821,0.0022945404052734375
79,2,0.08640653,0.0022814273834228516
80,5,0.092651695,0.002289295196533203
81,1,0.085424736,0.003044605255126953
82,3,0.086605,0.002422809600830078
83,2,0.09030194,0.002499103546142578
84,3,0.09366426,0.002332925796508789
85,7,0.08003297,0.0024857521057128906
86,4,0.09404252,0.0024738311767578125
87,4,0.09064856,0.0023450851440429688
88,1,0.086823404,0.0026717185974121094
89,7,0.08928835,0.002533435821533203
90,5,0.08909625,0.0022988319396972656
91,6,0.09393432,0.002706766128540039
92,9,0.0902907,0.002248048782348633
93,5,0.08736478,0.0024013519287109375
94,8,0.09430479,0.002573251724243164
95,5,0.08755513,0.0024230480194091797
96,5,0.084499165,0.0027093887329101562
97,5,0.08532292,0.0021562576293945312
98,5,0.092561014,0.0025169849395751953
99,12,0.09004908,0.0023365020751953125
100,2,0.09132461,0.0024890899658203125
101,3,0.08467966,0.0022444725036621094
102,5,0.08440238,0.0024242401123046875
103,3,0.090236485,0.0021915435791015625
104,1,0.08779304,0.0024907588958740234
105,5,0.09456584,0.002520322799682617
106,6,0.0887299,0.0021812915802001953
107,2,0.09147817,0.0023539066314697266
108,2,0.087753996,0.0022132396697998047
109,3,0.09097232,0.0025472640991210938
110,6,0.09396477,0.0026810169219970703
111,4,0.08067787,0.002710103988647461
