batch_idx,correct,p_adv,time
0,11,0.17613588,0.012436151504516602
1,12,0.17172998,0.0052337646484375
2,10,0.1737051,0.004738569259643555
3,10,0.16238773,0.004503965377807617
4,12,0.1811017,0.0049479007720947266
5,12,0.18046425,0.004820823669433594
6,11,0.17314431,0.004693508148193359
7,12,0.18656036,0.0048143863677978516
8,17,0.17623708,0.004808902740478516
9,16,0.18027803,0.005026578903198242
10,14,0.17440641,0.004362344741821289
11,8,0.18366757,0.004519462585449219
12,13,0.18540603,0.00408935546875
13,11,0.17199244,0.003987550735473633
14,12,0.1741221,0.004098415374755859
15,12,0.17378843,0.003950834274291992
16,14,0.17098296,0.004509925842285156
17,11,0.18084207,0.004258155822753906
18,11,0.17741308,0.004184246063232422
19,10,0.17661828,0.004587411880493164
20,12,0.1711266,0.0042705535888671875
21,20,0.18468952,0.003803253173828125
22,13,0.17396492,0.0038423538208007812
23,13,0.1765382,0.003879547119140625
24,9,0.1836761,0.0040853023529052734
25,12,0.17903826,0.0050525665283203125
26,12,0.18107484,0.004554033279418945
27,10,0.17557332,0.004003047943115234
28,13,0.17564136,0.0038309097290039062
29,20,0.16973199,0.003991127014160156
30,6,0.18041426,0.0039691925048828125
31,9,0.17918876,0.003945350646972656
32,17,0.18115324,0.004084348678588867
33,11,0.18038192,0.004590034484863281
34,23,0.1770272,0.00448918342590332
35,10,0.18285726,0.004019737243652344
36,10,0.180935,0.004082679748535156
37,10,0.17894292,0.0039103031158447266
38,17,0.16752937,0.003996372222900391
39,7,0.1778987,0.0041866302490234375
40,12,0.1946083,0.004277944564819336
41,8,0.18442252,0.004338264465332031
42,13,0.16993017,0.004283905029296875
43,11,0.16511136,0.004961490631103516
44,12,0.18364757,0.004147768020629883
45,19,0.17659271,0.004136800765991211
46,10,0.17093387,0.0042912960052490234
47,12,0.18373924,0.003987312316894531
48,13,0.18118067,0.003831148147583008
49,13,0.17281027,0.0038509368896484375
50,7,0.17125916,0.0037174224853515625
51,13,0.17781697,0.0038328170776367188
52,12,0.17928615,0.0046732425689697266
53,13,0.18017328,0.0039501190185546875
54,11,0.18651296,0.004042625427246094
55,15,0.18338451,0.0036628246307373047
56,12,0.17750704,0.004384279251098633
57,15,0.18481494,0.0038928985595703125
58,15,0.17474614,0.00435948371887207
59,14,0.17761323,0.004354000091552734
60,10,0.18606281,0.003997802734375
61,14,0.17710742,0.005426168441772461
62,16,0.18634036,0.004029273986816406
63,12,0.17770864,0.0042955875396728516
64,12,0.17537929,0.004055023193359375
65,14,0.17749472,0.0037796497344970703
66,16,0.17504114,0.004639625549316406
67,16,0.17896712,0.0040628910064697266
68,10,0.1726031,0.004159450531005859
69,14,0.163792,0.004327058792114258
70,12,0.17814252,0.0047762393951416016
71,14,0.17649272,0.004323244094848633
72,10,0.1874198,0.004208087921142578
73,14,0.1895113,0.004075050354003906
74,17,0.1679298,0.0042438507080078125
75,13,0.17201692,0.004194974899291992
76,12,0.16604507,0.004767656326293945
77,11,0.17924792,0.003928184509277344
78,9,0.18483046,0.004666566848754883
79,10,0.17233124,0.0051996707916259766
80,13,0.18493026,0.004094123840332031
81,8,0.17029665,0.003971099853515625
82,9,0.17266907,0.0038576126098632812
83,16,0.18023634,0.0042874813079833984
84,13,0.18699728,0.00396275520324707
85,13,0.1594573,0.004187345504760742
86,8,0.18766564,0.0038301944732666016
87,11,0.18096922,0.004281520843505859
88,7,0.17324942,0.0049746036529541016
89,11,0.17805769,0.003949642181396484
90,13,0.17779262,0.00424957275390625
91,11,0.187459,0.0038645267486572266
92,9,0.1801984,0.003960371017456055
93,13,0.1742555,0.004047870635986328
94,13,0.18821666,0.004450321197509766
95,8,0.17472869,0.0041124820709228516
96,15,0.16851284,0.004056215286254883
97,7,0.17013317,0.0046710968017578125
98,10,0.18468888,0.004235982894897461
99,15,0.17969383,0.004171848297119141
100,14,0.18218401,0.004088640213012695
101,8,0.16884495,0.004032135009765625
102,9,0.16834256,0.003952741622924805
103,9,0.18016662,0.004153728485107422
104,6,0.17500123,0.004205465316772461
105,10,0.18878868,0.004082918167114258
106,18,0.17703207,0.005011081695556641
107,8,0.18250123,0.004410982131958008
108,11,0.17501861,0.003951549530029297
109,11,0.1815608,0.004334449768066406
110,20,0.18755117,0.0040552616119384766
111,12,0.16083652,0.003849506378173828
112,6,0.18214953,0.0037958621978759766
113,13,0.18679342,0.0039196014404296875
114,9,0.1890175,0.004203319549560547
115,7,0.17708229,0.004924774169921875
116,15,0.17326531,0.004328012466430664
117,11,0.17793289,0.003885507583618164
118,21,0.18156652,0.004581451416015625
119,10,0.18582037,0.00392913818359375
120,11,0.17603648,0.00405573844909668
121,13,0.17164826,0.004450321197509766
122,6,0.17865583,0.003755807876586914
123,12,0.18042186,0.0048143863677978516
124,17,0.18448696,0.0044252872467041016
125,8,0.16296884,0.004023551940917969
126,8,0.18411434,0.004279375076293945
127,11,0.18599555,0.003926515579223633
128,15,0.17955582,0.0042438507080078125
129,13,0.1762065,0.00370025634765625
130,10,0.17800485,0.003771543502807617
131,12,0.17690668,0.003972768783569336
132,17,0.17590842,0.004507541656494141
133,9,0.17344001,0.0044362545013427734
134,9,0.17558637,0.004241228103637695
135,8,0.18032885,0.004328250885009766
136,10,0.17513652,0.0045392513275146484
137,11,0.17967036,0.004372835159301758
138,14,0.1735506,0.003952741622924805
139,10,0.17139897,0.0038497447967529297
140,14,0.17509294,0.004216194152832031
141,9,0.17955714,0.0047931671142578125
142,14,0.18388604,0.003987312316894531
143,16,0.17272942,0.003981590270996094
144,8,0.16508618,0.004147768020629883
145,12,0.18422748,0.004778623580932617
146,10,0.16603231,0.0037980079650878906
147,12,0.1807797,0.0038313865661621094
148,13,0.18007816,0.0039021968841552734
149,17,0.16767606,0.0037109851837158203
150,15,0.17793258,0.004428386688232422
151,11,0.17534131,0.0038847923278808594
152,6,0.17477989,0.0039021968841552734
153,15,0.1773203,0.003965139389038086
154,15,0.17822072,0.003864288330078125
155,9,0.17175768,0.0037415027618408203
156,1,0.16608343,0.003949880599975586
