batch_idx,correct,p_adv,time
0,16,0.018640583,0.11881041526794434
1,4,0.018426247,0.030713796615600586
2,4,0.016681477,0.03002762794494629
3,2,0.016088262,0.0297548770904541
4,3,0.019720264,0.031092166900634766
5,1,0.018302448,0.03734850883483887
6,9,0.019070257,0.033664703369140625
7,20,0.020148376,0.03836321830749512
8,16,0.020348681,0.030617713928222656
9,19,0.018067645,0.027715206146240234
10,19,0.02176081,0.030846834182739258
11,15,0.019717261,0.028354883193969727
12,18,0.020085743,0.029430389404296875
13,14,0.020564476,0.03158712387084961
14,23,0.018884405,0.031032562255859375
15,20,0.021488668,0.032082319259643555
16,11,0.017869264,0.03155636787414551
17,14,0.016495412,0.028983354568481445
18,12,0.018527128,0.029217243194580078
19,32,0.018842593,0.02828693389892578
20,8,0.021256784,0.02692723274230957
21,13,0.020692572,0.02817058563232422
22,18,0.019328482,0.030926942825317383
23,6,0.018628435,0.031968116760253906
24,4,0.019073457,0.03028130531311035
25,0,0.019856945,0.028086423873901367
26,4,0.020614954,0.029683351516723633
27,2,0.020122208,0.028733491897583008
28,1,0.01898311,0.03071308135986328
29,9,0.020499853,0.028824329376220703
30,8,0.019247163,0.029622793197631836
31,1,0.01852128,0.02761983871459961
32,19,0.022286301,0.02878260612487793
33,5,0.020574134,0.02952289581298828
34,2,0.02008681,0.028907060623168945
35,12,0.02070247,0.02879166603088379
36,0,0.020478718,0.030532121658325195
37,3,0.022384573,0.030956506729125977
38,6,0.02292385,0.029421567916870117
39,0,0.01988688,0.030233144760131836
40,4,0.019436557,0.029701709747314453
41,4,0.020708818,0.0285494327545166
42,1,0.021794513,0.030130386352539062
43,10,0.019547928,0.030660629272460938
44,22,0.019921243,0.03229475021362305
45,7,0.021234712,0.029462814331054688
46,4,0.017541029,0.0330810546875
47,0,0.01953551,0.032323360443115234
48,1,0.019155107,0.03371381759643555
49,7,0.020143224,0.031049251556396484
50,5,0.019054618,0.030709266662597656
51,3,0.020867217,0.03379702568054199
52,2,0.022650536,0.031243562698364258
53,2,0.022011243,0.03203105926513672
54,15,0.021354694,0.0277402400970459
55,16,0.021277295,0.02889871597290039
56,17,0.020629268,0.029979944229125977
57,2,0.01898359,0.030417919158935547
58,11,0.020415876,0.02935504913330078
59,8,0.019342799,0.027538299560546875
60,5,0.019644167,0.02972269058227539
61,7,0.018278573,0.029413700103759766
62,10,0.020845335,0.02874588966369629
63,13,0.020537326,0.03148341178894043
64,13,0.020403802,0.02934741973876953
65,11,0.025495246,0.03034806251525879
66,22,0.020823507,0.03006434440612793
67,10,0.02222028,0.030420303344726562
68,26,0.020015866,0.028060436248779297
69,20,0.017313624,0.028284072875976562
70,29,0.017844481,0.02871537208557129
71,17,0.019595746,0.029850244522094727
72,20,0.020486841,0.02927088737487793
73,13,0.019571656,0.028910160064697266
74,35,0.021241933,0.02779364585876465
75,17,0.01769434,0.0296022891998291
76,18,0.020972155,0.030823945999145508
77,10,0.021082839,0.029560327529907227
78,27,0.019641316,0.030373096466064453
79,14,0.019245828,0.027235984802246094
80,20,0.021413554,0.027579307556152344
81,3,0.021536564,0.02721095085144043
82,10,0.019840367,0.03055095672607422
83,6,0.01844983,0.028682708740234375
84,7,0.017908376,0.027895689010620117
85,17,0.019984037,0.02784585952758789
86,5,0.017431393,0.030889511108398438
87,8,0.016750066,0.028253555297851562
88,4,0.018353317,0.030234098434448242
89,0,0.01969666,0.030381441116333008
90,5,0.0191115,0.02840590476989746
91,11,0.018544242,0.031859397888183594
92,4,0.017923005,0.027460336685180664
93,1,0.020706112,0.0293121337890625
94,1,0.018900037,0.029909133911132812
95,0,0.017042974,0.0274505615234375
96,3,0.018357735,0.02721571922302246
97,0,0.01960133,0.02867436408996582
98,4,0.018764194,0.029683828353881836
99,17,0.018727906,0.027637958526611328
100,4,0.021060485,0.027526378631591797
101,12,0.018911093,0.02869558334350586
102,15,0.019861192,0.030384540557861328
103,9,0.019339055,0.028797388076782227
104,10,0.021323368,0.029523134231567383
105,22,0.021009423,0.03061079978942871
106,18,0.020820862,0.029215097427368164
107,17,0.022867933,0.02977752685546875
108,27,0.024079863,0.028287887573242188
109,13,0.02395552,0.029241323471069336
110,17,0.023641437,0.030220746994018555
111,9,0.023781065,0.030879735946655273
112,28,0.020105444,0.029694795608520508
113,18,0.019085133,0.030369043350219727
114,11,0.01990533,0.028714418411254883
115,8,0.02031725,0.030420541763305664
116,18,0.01961624,0.0276947021484375
117,2,0.018253993,0.029922008514404297
118,3,0.017390687,0.028576135635375977
119,5,0.017525923,0.027860164642333984
120,8,0.01894648,0.027866601943969727
121,5,0.018875595,0.029694318771362305
122,8,0.01751774,0.029731273651123047
123,6,0.019051367,0.030691146850585938
124,0,0.019923951,0.03016948699951172
125,5,0.019366257,0.02848362922668457
126,0,0.018709363,0.03094196319580078
127,1,0.0189117,0.0285646915435791
128,4,0.019327302,0.02958846092224121
129,0,0.017143134,0.028939247131347656
130,0,0.018140253,0.03131699562072754
131,0,0.02070928,0.02883434295654297
132,2,0.018504456,0.030119657516479492
133,1,0.019349813,0.02975320816040039
134,3,0.021018863,0.02995133399963379
135,5,0.020101467,0.029222965240478516
136,2,0.020278485,0.029944896697998047
137,2,0.019771874,0.02986311912536621
138,2,0.020275969,0.030223369598388672
139,7,0.019759499,0.028641939163208008
140,3,0.019928796,0.029943466186523438
141,3,0.018681455,0.031011343002319336
142,4,0.019304145,0.03094792366027832
143,4,0.018516669,0.02852344512939453
144,0,0.020047825,0.02931833267211914
145,0,0.02102323,0.030783653259277344
146,2,0.019480085,0.03000664710998535
147,0,0.020981338,0.028067588806152344
