batch_idx,correct,p_adv,time
0,0,0.090764605,1.32720947265625
1,0,0.09850371,1.318321943283081
2,0,0.08460272,1.3254430294036865
3,2,0.086575426,1.163395643234253
4,0,0.09049308,1.2057695388793945
5,5,0.08525601,1.182926893234253
6,3,0.08999852,1.2103822231292725
7,1,0.08839814,1.16524338722229
8,0,0.08596594,1.195896863937378
9,2,0.088922106,1.2086820602416992
10,2,0.0817516,1.2031917572021484
11,1,0.08794961,1.1942760944366455
12,0,0.091131546,1.2590405941009521
13,0,0.08967801,1.1935203075408936
14,2,0.08987273,1.2027132511138916
15,1,0.08237513,1.1807153224945068
16,1,0.08274549,1.2169864177703857
17,0,0.08988121,1.203756332397461
18,0,0.092069015,1.217064380645752
19,4,0.07695961,1.2074828147888184
20,1,0.08764141,1.2051684856414795
21,2,0.09076587,1.2011723518371582
22,0,0.07730322,1.1577470302581787
23,1,0.08712154,1.2370541095733643
24,1,0.08797741,1.189528226852417
25,1,0.089017525,1.203462839126587
26,3,0.08409543,1.247833490371704
27,1,0.08848193,1.128586769104004
28,1,0.093011834,1.276505947113037
29,1,0.085918546,1.2445359230041504
30,2,0.088606775,1.17061448097229
31,3,0.07886179,1.201352596282959
32,0,0.08500321,1.2023992538452148
33,3,0.08933739,1.2657198905944824
34,1,0.08685492,1.188842535018921
35,1,0.08567354,1.1356685161590576
36,1,0.08720014,1.2248055934906006
37,1,0.08053167,1.160066843032837
38,1,0.08504484,1.231938123703003
39,2,0.08553879,1.147266149520874
40,2,0.091712624,1.167158603668213
41,1,0.09140269,1.2028133869171143
42,2,0.08583005,1.2078464031219482
43,1,0.0901722,1.2052433490753174
44,0,0.0829107,1.2094948291778564
45,1,0.08555036,1.236494779586792
46,2,0.07864869,1.1948237419128418
47,1,0.100751355,1.1752586364746094
48,1,0.09158178,1.2386620044708252
49,0,0.09067218,1.192169427871704
50,0,0.087246865,1.1885125637054443
51,0,0.08845061,1.1527516841888428
52,1,0.08356889,1.2659480571746826
53,2,0.08892793,1.2074153423309326
54,1,0.096402735,1.1663501262664795
55,0,0.08526997,1.2146501541137695
56,0,0.09605795,1.3138453960418701
57,2,0.09631124,1.2074604034423828
58,1,0.082350716,1.241178274154663
59,0,0.08826263,1.1981685161590576
60,1,0.09253394,1.1751654148101807
61,0,0.09499665,1.2169909477233887
62,3,0.083212525,1.1672310829162598
63,0,0.087136105,1.3137292861938477
64,0,0.08843722,1.1781446933746338
65,1,0.08209917,1.235790491104126
66,2,0.08984193,1.2207367420196533
67,3,0.0840088,1.213869333267212
68,1,0.08670967,1.1689929962158203
69,1,0.0900131,1.2563786506652832
70,5,0.09226526,1.1746423244476318
71,0,0.08616324,1.1772408485412598
72,1,0.0943564,1.2102336883544922
73,1,0.08633232,1.1899733543395996
74,1,0.09113543,1.20717453956604
75,2,0.083392724,1.1805191040039062
76,0,0.09009595,1.2527897357940674
77,0,0.08536009,1.170820713043213
78,0,0.11652814,1.2105143070220947
79,0,0.11051297,1.203556776046753
80,1,0.10351208,1.1656787395477295
81,1,0.087417185,1.1928446292877197
82,1,0.108658254,1.2186765670776367
83,0,0.12086581,1.2715609073638916
84,0,0.104972206,1.1675312519073486
85,1,0.12238693,1.1816818714141846
86,0,0.10729058,1.2518234252929688
87,0,0.103728354,1.2013404369354248
88,2,0.08491982,1.2360525131225586
89,2,0.09190638,1.2640421390533447
90,0,0.12456916,1.2346611022949219
91,0,0.104030415,1.2346274852752686
92,1,0.098931886,1.181572675704956
93,2,0.081376374,1.2233502864837646
94,0,0.09255461,1.2595181465148926
95,0,0.124423794,1.3325486183166504
96,0,0.113306165,1.250084400177002
97,0,0.109588295,1.2280230522155762
98,0,0.12478521,1.335566520690918
99,2,0.11186764,1.3592383861541748
100,0,0.11379764,1.2558043003082275
101,0,0.11640357,1.1751079559326172
102,3,0.08249588,1.2089204788208008
103,1,0.07126851,1.1188640594482422
104,1,0.10765887,1.2083990573883057
105,1,0.1022268,1.3466320037841797
106,1,0.11306776,1.260207176208496
107,0,0.11004616,1.2637529373168945
108,0,0.10269417,1.264608383178711
109,0,0.108643755,1.2631313800811768
110,0,0.11195193,1.4056692123413086
111,0,0.11841342,1.2143118381500244
112,1,0.10016751,1.1982882022857666
113,0,0.09629233,1.2659997940063477
114,0,0.10501015,1.3083148002624512
115,0,0.09654233,1.315420150756836
116,0,0.09289861,1.292754888534546
117,1,0.09672663,1.286543607711792
118,0,0.09686144,1.3040149211883545
119,0,0.10801761,1.2824082374572754
120,0,0.111957446,1.332291603088379
121,0,0.10543278,1.3698697090148926
122,2,0.09106231,1.3416049480438232
123,0,0.09677956,1.361234426498413
124,0,0.108734936,1.3377060890197754
125,0,0.10349782,1.2965893745422363
126,0,0.089838505,1.3757193088531494
127,1,0.11033352,1.3271832466125488
128,0,0.1050401,1.2331266403198242
129,0,0.0915883,1.2456600666046143
130,0,0.094024576,1.304304838180542
131,0,0.10303064,1.450925350189209
132,0,0.10738535,1.4186131954193115
133,1,0.10361251,1.2844619750976562
134,0,0.10257448,1.247793197631836
135,0,0.116780646,1.2026360034942627
136,0,0.123736404,1.2914042472839355
137,0,0.12831825,1.2231159210205078
138,0,0.13455972,1.2475714683532715
139,0,0.12261358,1.2399728298187256
140,0,0.11634108,1.2615547180175781
141,0,0.107478894,1.2770819664001465
142,0,0.11549497,1.2630984783172607
143,0,0.10705683,1.275357961654663
144,0,0.12088164,1.2774314880371094
145,0,0.09855632,1.2615466117858887
146,0,0.11244506,1.277616024017334
147,0,0.10793333,1.228590726852417
148,2,0.09870507,1.2795326709747314
149,1,0.10345793,1.3240094184875488
150,2,0.09069504,1.2286686897277832
151,0,0.086090446,1.2681503295898438
152,3,0.07603319,1.1780261993408203
153,1,0.095807485,1.2326292991638184
154,0,0.094770886,1.255678653717041
155,0,0.09515835,1.2164556980133057
156,0,0.11093969,0.34474802017211914
