batch_idx,correct,p_adv,time
0,7,0.4597672,0.012597322463989258
1,8,0.45779634,0.002492189407348633
2,3,0.45650035,0.002037525177001953
3,6,0.4586388,0.001871347427368164
4,3,0.46122462,0.0017631053924560547
5,5,0.45720607,0.001638174057006836
6,6,0.46138486,0.0016751289367675781
7,7,0.45617443,0.0017533302307128906
8,9,0.45878524,0.0017266273498535156
9,6,0.45779765,0.002076864242553711
10,1,0.45667562,0.0016903877258300781
11,4,0.45997143,0.001804351806640625
12,8,0.45757186,0.0018146038055419922
13,6,0.4582718,0.0018110275268554688
14,6,0.45783937,0.0018088817596435547
15,8,0.4577808,0.0018286705017089844
16,7,0.45790493,0.0019998550415039062
17,7,0.45716572,0.0018825531005859375
18,7,0.4584376,0.0019631385803222656
19,4,0.46171844,0.0017518997192382812
20,2,0.45832825,0.0017285346984863281
21,7,0.4583072,0.001722097396850586
22,6,0.460545,0.0017943382263183594
23,4,0.45736355,0.001764535903930664
24,5,0.46018937,0.001905202865600586
25,2,0.45862654,0.0017135143280029297
26,5,0.46156335,0.001809835433959961
27,4,0.45864588,0.0018689632415771484
28,8,0.4586564,0.001722097396850586
29,8,0.45772392,0.0018203258514404297
30,5,0.46121207,0.00188446044921875
31,5,0.45775878,0.001959085464477539
32,4,0.45901358,0.0017704963684082031
33,5,0.45606682,0.001959085464477539
34,6,0.4597141,0.0020291805267333984
35,1,0.45707685,0.0020449161529541016
36,5,0.45704752,0.002071380615234375
37,4,0.46268347,0.002183198928833008
38,1,0.4594499,0.002192258834838867
39,7,0.4575783,0.0017597675323486328
40,9,0.4565215,0.0019364356994628906
41,5,0.4612545,0.001775503158569336
42,8,0.4568829,0.001680135726928711
43,5,0.4564879,0.0017466545104980469
44,2,0.45891595,0.0016813278198242188
45,5,0.45920455,0.001964092254638672
46,4,0.45996118,0.001918792724609375
47,6,0.45757973,0.0019445419311523438
48,9,0.45678484,0.0019075870513916016
49,7,0.45893925,0.0017652511596679688
50,6,0.45836532,0.001737356185913086
51,8,0.46245456,0.0016887187957763672
52,4,0.4613896,0.0019218921661376953
53,7,0.46011505,0.0017094612121582031
54,3,0.4563339,0.001760244369506836
55,6,0.45894694,0.002500295639038086
56,7,0.46049646,0.0018608570098876953
57,4,0.45877105,0.0015819072723388672
58,4,0.46136737,0.0017879009246826172
59,6,0.4596445,0.0016474723815917969
60,4,0.4595921,0.0015323162078857422
61,4,0.4608521,0.001619577407836914
62,3,0.4558903,0.0018308162689208984
63,4,0.46151775,0.0017223358154296875
64,9,0.46004382,0.0015442371368408203
65,6,0.45697832,0.0017735958099365234
66,6,0.4593869,0.0015282630920410156
67,4,0.45992726,0.0016872882843017578
68,5,0.4614121,0.0016880035400390625
69,8,0.45951244,0.0019788742065429688
70,8,0.45555866,0.0015637874603271484
71,8,0.45461482,0.0015940666198730469
72,3,0.458688,0.0015735626220703125
73,6,0.4572687,0.0022826194763183594
74,7,0.45704925,0.0020101070404052734
75,6,0.457577,0.0021364688873291016
76,9,0.45890605,0.002106904983520508
77,4,0.46012402,0.001996278762817383
78,11,0.4579063,0.0017025470733642578
79,7,0.4607483,0.001692056655883789
80,8,0.45930445,0.001689910888671875
81,2,0.45624524,0.001718282699584961
82,12,0.45965737,0.0016820430755615234
83,11,0.46012318,0.0017228126525878906
84,10,0.4596146,0.0015320777893066406
85,16,0.45944887,0.0015673637390136719
86,11,0.45983866,0.0015947818756103516
87,9,0.45420888,0.0015711784362792969
88,4,0.45941833,0.001611471176147461
89,8,0.45906848,0.0017566680908203125
90,12,0.45746022,0.001556396484375
