batch_idx,correct,p_adv,time
0,3,0.020490909,1.1897010803222656
1,1,0.023471646,1.115187644958496
2,6,0.020573787,1.108811855316162
3,3,0.020505428,1.0867249965667725
4,6,0.018986844,1.0014970302581787
5,5,0.022096973,1.0810868740081787
6,4,0.018782396,1.0233955383300781
7,4,0.021284167,1.0935478210449219
8,1,0.022645742,1.1022942066192627
9,4,0.023195265,1.1483120918273926
10,4,0.01965186,1.0196821689605713
11,5,0.022168957,1.0087776184082031
12,3,0.02057642,0.9642319679260254
13,7,0.021027785,1.0507175922393799
14,7,0.022709692,1.033747911453247
15,3,0.024128616,1.1351656913757324
16,2,0.019702384,1.041703701019287
17,4,0.01917781,1.0838749408721924
18,3,0.022806015,1.0533125400543213
19,7,0.019729212,1.1727468967437744
20,3,0.020206241,1.194810390472412
21,2,0.025931336,1.3494362831115723
22,2,0.021653097,1.2981457710266113
23,5,0.0209161,1.2074346542358398
24,4,0.02116259,1.192042589187622
25,2,0.020157946,1.3269455432891846
26,2,0.023736436,1.352550983428955
27,7,0.019138671,1.2969725131988525
28,4,0.020660505,1.2175612449645996
29,6,0.024591368,1.2572519779205322
30,5,0.019376328,1.2277402877807617
31,4,0.018363703,1.1569955348968506
32,3,0.02306199,1.1928956508636475
33,9,0.02144298,1.302809476852417
34,3,0.02406843,1.2859222888946533
35,9,0.019975342,1.1711483001708984
36,5,0.023118548,1.2306389808654785
37,3,0.021799041,1.3286550045013428
38,4,0.022517571,1.2840499877929688
39,0,0.018394679,1.210845947265625
40,5,0.02414249,1.283276081085205
41,3,0.020002136,1.2503154277801514
42,3,0.020705324,1.2338075637817383
43,4,0.018389855,1.1972942352294922
44,1,0.021720469,1.2595808506011963
45,3,0.026106615,1.3249821662902832
46,2,0.018815123,1.2860620021820068
47,1,0.020487033,1.206993579864502
48,6,0.0218601,1.2697319984436035
49,4,0.021457624,1.2870450019836426
50,5,0.021138726,1.3241989612579346
51,6,0.02240581,1.247631549835205
52,8,0.01975698,1.2000458240509033
53,5,0.022071943,1.1989405155181885
54,3,0.021582095,1.2816681861877441
55,4,0.02318311,1.3101511001586914
56,3,0.018933468,1.1518268585205078
57,2,0.022293799,1.288823127746582
58,5,0.021434052,1.240565299987793
59,5,0.021294974,1.2478740215301514
60,2,0.022072393,1.2453527450561523
61,2,0.021872995,1.131903886795044
62,3,0.023172274,1.2694065570831299
63,2,0.023026124,1.3407325744628906
64,3,0.022888321,1.1284675598144531
65,5,0.02218172,1.2290863990783691
66,3,0.023644362,1.2172720432281494
67,1,0.024888348,1.3058092594146729
68,3,0.022337832,1.317915916442871
69,2,0.020381834,1.241147756576538
70,6,0.020251777,1.1757824420928955
71,2,0.01977479,1.1728525161743164
72,6,0.021436935,1.193053960800171
